Class,"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61"
ACC,0.98929,0.98413,0.9869,0.99444,0.98849,0.99048,0.99365,0.97659,0.98651,0.98294,0.99325,0.99365,0.99524,0.97341,0.99008,0.98254,0.98135,0.9496,0.98214,0.93214,0.98373,0.99087,0.97024,0.99206,0.96825,0.98016,0.98889,0.99246,0.97341,0.99206,0.98095,0.96786,0.88294,0.97103,0.98373,0.94127,0.98968,0.96905,0.91984,0.9631,0.97778,0.98135,0.98333,0.99643,0.98849,0.96746,0.98849,0.98016,0.99444,0.99127,0.98651,0.98849,0.98333,0.97063,0.98016,0.9869,0.97183,0.97976,0.98254,0.98413,0.99206,0.95714
BM,0.32418,0.50769,0.13211,-0.00318,0.40789,0.99046,0.49483,0.56914,-0.00877,None,0.71067,None,0.99523,0.1149,0.32735,None,0.31778,0.52762,0.73228,0.00803,-0.0151,0.83798,0.01029,0.39561,0.12632,-0.01867,None,0.21744,-0.00648,0.81541,0.66118,0.65264,0.32934,None,0.31939,0.20894,None,0.42711,0.10704,0.32218,0.11934,-0.01435,0.319,0.49761,-0.01033,0.21921,0.32339,0.37464,None,-0.00755,None,0.98848,None,0.22756,0.20348,0.52295,0.46314,0.25982,0.76105,0.22451,0.26794,0.05342
DOR,54.15217,98.35897,15.34568,0.0,80.71429,None,192.38462,156.97744,0.0,None,689.72222,None,None,10.90909,83.0,None,31.65385,62.78751,515.98558,2.91553,0.0,834.30357,2.71556,151.15152,6.42424,0.0,None,59.5,0.0,759.61333,141.6088,93.05795,70.42524,None,35.37143,23.65833,None,32.77917,22.40781,44.33333,25.08163,0.0,34.375,418.0,0.0,41.59367,49.78,50.0781,None,0.0,None,None,None,14.52381,53.94737,108.96703,42.40523,42.91746,205.75,28.21652,78.03125,16.20202
ERR,0.01071,0.01587,0.0131,0.00556,0.01151,0.00952,0.00635,0.02341,0.01349,0.01706,0.00675,0.00635,0.00476,0.02659,0.00992,0.01746,0.01865,0.0504,0.01786,0.06786,0.01627,0.00913,0.02976,0.00794,0.03175,0.01984,0.01111,0.00754,0.02659,0.00794,0.01905,0.03214,0.11706,0.02897,0.01627,0.05873,0.01032,0.03095,0.08016,0.0369,0.02222,0.01865,0.01667,0.00357,0.01151,0.03254,0.01151,0.01984,0.00556,0.00873,0.01349,0.01151,0.01667,0.02937,0.01984,0.0131,0.02817,0.02024,0.01746,0.01587,0.00794,0.04286
F0.5,0.09434,0.36649,0.04202,0.0,0.20833,0.13514,0.21429,0.68063,0.0,0.0,0.69444,0.0,0.2381,0.13089,0.26316,0.0,0.1087,0.65876,0.8427,0.04739,0.0,0.72797,0.04,0.36145,0.03367,0.0,0.0,0.15385,0.0,0.63889,0.44484,0.54717,0.67619,0.0,0.09317,0.42289,0.0,0.21148,0.33241,0.48673,0.23438,0.0,0.09091,0.35714,0.0,0.41667,0.08772,0.29557,0.0,0.0,0.0,0.1145,0.0,0.11029,0.36765,0.2649,0.25559,0.32544,0.17073,0.14184,0.21127,0.18182
F1,0.12903,0.41176,0.05714,0.0,0.25641,0.2,0.27273,0.63804,0.0,0.0,0.70175,0.0,0.33333,0.12987,0.28571,0.0,0.14545,0.61162,0.8,0.02286,0.0,0.76768,0.02597,0.375,0.04762,0.0,0.0,0.17391,0.0,0.69697,0.5102,0.58883,0.4905,0.0,0.12766,0.31481,0.0,0.26415,0.192,0.41509,0.17647,0.0,0.125,0.4,0.0,0.31667,0.12121,0.32432,0.0,0.0,0.0,0.17143,0.0,0.13953,0.28571,0.32653,0.31068,0.30137,0.24138,0.16667,0.23077,0.1
F2,0.20408,0.4698,0.08929,0.0,0.33333,0.38462,0.375,0.60046,0.0,0.0,0.70922,0.0,0.55556,0.12887,0.3125,0.0,0.21978,0.57078,0.76142,0.01506,0.0,0.81197,0.01923,0.38961,0.0813,0.0,0.0,0.2,0.0,0.76667,0.59809,0.63736,0.38482,0.0,0.2027,0.25074,0.0,0.35176,0.13498,0.36184,0.14151,0.0,0.2,0.45455,0.0,0.25538,0.19608,0.35928,0.0,0.0,0.0,0.34091,0.0,0.18987,0.23364,0.42553,0.39604,0.28061,0.41176,0.20202,0.25424,0.06897
FDR,0.92,0.65854,0.96429,1.0,0.81481,0.88889,0.8125,0.28767,1.0,1.0,0.31034,1.0,0.8,0.86842,0.75,1.0,0.90698,0.30556,0.12621,0.83333,1.0,0.2963,0.9375,0.64706,0.97183,1.0,1.0,0.85714,1.0,0.39474,0.59016,0.47748,0.09554,1.0,0.92105,0.45161,1.0,0.81333,0.35135,0.45,0.7,1.0,0.92308,0.66667,1.0,0.47222,0.92593,0.72093,1.0,1.0,1.0,0.90625,1.0,0.90323,0.54545,0.76471,0.77143,0.65625,0.85714,0.87097,0.8,0.6
FN,4,13,6,6,7,0,3,38,12,0,8,0,0,34,10,0,8,83,32,161,3,7,60,9,11,3,0,7,51,5,12,28,280,0,6,120,0,17,189,66,42,11,6,3,3,65,4,19,0,3,0,0,0,18,38,7,17,30,2,13,8,99
FNR,0.66667,0.48148,0.85714,1.0,0.58333,0.0,0.5,0.42222,1.0,None,0.28571,None,0.0,0.87179,0.66667,None,0.66667,0.45355,0.2623,0.98773,1.0,0.15556,0.98361,0.6,0.84615,1.0,None,0.77778,1.0,0.17857,0.32432,0.32558,0.66351,None,0.66667,0.77922,None,0.54839,0.88732,0.66667,0.875,1.0,0.66667,0.5,1.0,0.77381,0.66667,0.6129,None,1.0,None,0.0,None,0.75,0.79167,0.46667,0.51515,0.73171,0.22222,0.76471,0.72727,0.94286
